,filepath,nb_points,timestep_dev,timestep_avg,speed_dev,site,floor,path_id
0,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd52602d48f840006f14a4f.txt,7,0.3912450596770939,4648.666666666667,0.12198001849596228,site2,F4,5dd52602d48f840006f14a4f
1,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3ac5444333f00067aa662.txt,9,0.13020248589470268,7613.375,0.11525523104131487,site2,F4,5dd3ac5444333f00067aa662
2,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3bbd627889b0006b76fcb.txt,6,0.3665437056279347,3748.0,0.579058989163462,site2,F4,5dd3bbd627889b0006b76fcb
3,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3a32544333f00067aa5ab.txt,14,0.4009100980203385,4722.846153846154,0.25116872319816436,site2,F4,5dd3a32544333f00067aa5ab
4,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd52058d48f840006f149d1.txt,6,0.20672005573941854,2977.4,0.11429503153818596,site2,F4,5dd52058d48f840006f149d1
5,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd525f4d48f840006f14a47.txt,5,0.5169613123019469,5910.5,0.09013558221920134,site2,F4,5dd525f4d48f840006f14a47
6,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3abef27889b0006b76daf.txt,2,0.0,7577.0,0.0,site2,F4,5dd3abef27889b0006b76daf
7,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3bbd344333f00067aa804.txt,9,0.5209079903299334,6284.875,0.29699824023254956,site2,F4,5dd3bbd344333f00067aa804
8,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3bbd144333f00067aa802.txt,5,0.27554941042093295,8221.0,0.15439782044242564,site2,F4,5dd3bbd144333f00067aa802
9,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd5260750e04e0006f564f1.txt,10,0.23028695187267795,4219.888888888889,0.13664081565470876,site2,F4,5dd5260750e04e0006f564f1
10,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3bb5727889b0006b76f98.txt,8,0.40273848381770394,6261.571428571428,0.277287828603751,site2,F4,5dd3bb5727889b0006b76f98
11,/Users/romainfouilland/code/cours/P3A/data/ilc2/data/site2/F4/path_data_files/5dd3b10f44333f00067aa751.txt,7,0.4067059572370436,6248.333333333333,0.20537492952703473,site2,F4,5dd3b10f44333f00067aa751
